Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login Scenarios,Chrome 127.0.0.0,,,12-08-2024 23:42:57,12-08-2024 23:44:21,1m - 23.849s,FAILED
,,,,,,,
Test Cases/Login/L001_Register User,Chrome 127.0.0.0,Register User for the application,,12-08-2024 23:42:58,12-08-2024 23:43:37,39.142s,PASSED
file = new java.io.FileInputStream(new java.io.File((java.lang.System.getProperty(user.dir) + \Data Files\dataFile.xlsx))),Chrome 127.0.0.0,,,12-08-2024 23:42:58,12-08-2024 23:42:58,0.031s,PASSED
workbook = new org.apache.poi.xssf.usermodel.XSSFWorkbook(file),Chrome 127.0.0.0,,,12-08-2024 23:42:58,12-08-2024 23:42:59,0.610s,PASSED
sheet = workbook.getSheetAt(0),Chrome 127.0.0.0,,,12-08-2024 23:42:59,12-08-2024 23:42:59,0.015s,PASSED
"openBrowser("""")",Chrome 127.0.0.0,Launch browser,,12-08-2024 23:42:59,12-08-2024 23:43:01,2.553s,PASSED
"navigateToUrl(""http://automationexercise.com/"")",Chrome 127.0.0.0,Navigate to url http://automationexercise.com,,12-08-2024 23:43:01,12-08-2024 23:43:05,3.472s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/Login/Menu_Home""), Long_Timeout)",Chrome 127.0.0.0,Verify that home page is visible successfully,,12-08-2024 23:43:05,12-08-2024 23:43:06,1.354s,PASSED
"verifyElementAttributeValue(findTestObject(""Object Repository/Login/Menu_Home""), ""style"", ""color: orange;"", Short_Timeout)",Chrome 127.0.0.0,,,12-08-2024 23:43:06,12-08-2024 23:43:07,0.599s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Login/img_Home""), OPTIONAL)",Chrome 127.0.0.0,,,12-08-2024 23:43:07,12-08-2024 23:43:07,0.422s,PASSED
"click(findTestObject(""Object Repository/Login/btn_Signup-Login""))",Chrome 127.0.0.0,"Click on ""Signup / Login"" button",,12-08-2024 23:43:07,12-08-2024 23:43:09,1.847s,PASSED
"verifyElementText(findTestObject(""Object Repository/Login/Verify_NewUserSignup""), ""New User Signup!"")",Chrome 127.0.0.0,"Verify ""New User Signup!"" is visible",,12-08-2024 23:43:09,12-08-2024 23:43:09,0.648s,PASSED
"setText(findTestObject(""Object Repository/Login/txt_Name""), ""KBC Automation"")",Chrome 127.0.0.0,"Enter ""Name""",,12-08-2024 23:43:10,12-08-2024 23:43:11,1.135s,PASSED
random = Math.random() * 1000,Chrome 127.0.0.0,"Enter ""Email"" Address",,12-08-2024 23:43:11,12-08-2024 23:43:11,0.040s,PASSED
myDateObj = LocalDateTime.now(),Chrome 127.0.0.0,,,12-08-2024 23:43:11,12-08-2024 23:43:11,0.010s,PASSED
