Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login Scenarios,Chrome 127.0.0.0,,,13-08-2024 01:01:22,13-08-2024 01:02:00,38.323s,FAILED
,,,,,,,
Test Cases/Login/L001_Register User,Chrome 127.0.0.0,Register User for the application,,13-08-2024 01:01:22,13-08-2024 01:01:59,37.080s,PASSED
file = new java.io.FileInputStream(new java.io.File((java.lang.System.getProperty(user.dir) + \Data Files\dataFile.xlsx))),Chrome 127.0.0.0,,,13-08-2024 01:01:22,13-08-2024 01:01:23,0.031s,PASSED
workbook = new org.apache.poi.xssf.usermodel.XSSFWorkbook(file),Chrome 127.0.0.0,,,13-08-2024 01:01:23,13-08-2024 01:01:23,0.646s,PASSED
sheet = workbook.getSheetAt(0),Chrome 127.0.0.0,,,13-08-2024 01:01:23,13-08-2024 01:01:23,0.010s,PASSED
"openBrowser("""")",Chrome 127.0.0.0,Launch browser,,13-08-2024 01:01:23,13-08-2024 01:01:27,3.685s,PASSED
"navigateToUrl(""http://automationexercise.com/"")",Chrome 127.0.0.0,Navigate to url http://automationexercise.com,,13-08-2024 01:01:27,13-08-2024 01:01:30,3.512s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/Login/Menu_Home""), Long_Timeout)",Chrome 127.0.0.0,Verify that home page is visible successfully,,13-08-2024 01:01:30,13-08-2024 01:01:32,1.328s,PASSED
"verifyElementAttributeValue(findTestObject(""Object Repository/Login/Menu_Home""), ""style"", ""color: orange;"", Short_Timeout)",Chrome 127.0.0.0,,,13-08-2024 01:01:32,13-08-2024 01:01:32,0.321s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Login/img_Home""), OPTIONAL)",Chrome 127.0.0.0,,,13-08-2024 01:01:32,13-08-2024 01:01:32,0.297s,PASSED
"click(findTestObject(""Object Repository/Login/btn_Signup-Login""))",Chrome 127.0.0.0,"Click on ""Signup / Login"" button",,13-08-2024 01:01:32,13-08-2024 01:01:34,1.679s,PASSED
