Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login Scenarios,,,,2024-08-13 00:50:03,2024-08-13 00:50:08,5.697s,FAILED
,,,,,,,
Test Cases/Login/L001_Register User,,Register User for the application,,2024-08-13 00:50:05,2024-08-13 00:50:07,1.956s,FAILED
file = new java.io.FileInputStream(new java.io.File((java.lang.System.getProperty(user.dir) + \Data Files\dataFile.xlsx))),,,,2024-08-13 00:50:05,2024-08-13 00:50:05,0.010s,PASSED
workbook = new org.apache.poi.xssf.usermodel.XSSFWorkbook(file),,,,2024-08-13 00:50:05,2024-08-13 00:50:06,0.485s,PASSED
sheet = workbook.getSheetAt(0),,,,2024-08-13 00:50:06,2024-08-13 00:50:06,0.001s,PASSED
"openBrowser("""")",,Launch browser,,2024-08-13 00:50:06,2024-08-13 00:50:07,1.156s,FAILED
,,,,,,,
Test Cases/Login/L002_Login,,,,2024-08-13 00:50:07,2024-08-13 00:50:07,0.305s,FAILED
file = new java.io.FileInputStream(new java.io.File((java.lang.System.getProperty(user.dir) + \Data Files\dataFile.xlsx))),,,,2024-08-13 00:50:07,2024-08-13 00:50:07,0.000s,PASSED
workbook = new org.apache.poi.xssf.usermodel.XSSFWorkbook(file),,,,2024-08-13 00:50:07,2024-08-13 00:50:07,0.049s,PASSED
sheet = workbook.getSheetAt(0),,,,2024-08-13 00:50:07,2024-08-13 00:50:07,0.000s,PASSED
userEmail = getCell(0).getStringCellValue(),,Read data from excel,,2024-08-13 00:50:07,2024-08-13 00:50:07,0.061s,PASSED
password = getCell(1).getStringCellValue(),,,,2024-08-13 00:50:07,2024-08-13 00:50:07,0.000s,PASSED
UserEmail = userEmail,,,,2024-08-13 00:50:07,2024-08-13 00:50:07,0.000s,PASSED
Password = password,,,,2024-08-13 00:50:07,2024-08-13 00:50:07,0.000s,PASSED
"navigateToUrl(""http://automationexercise.com/"")",,Navigate to url http://automationexercise.com,,2024-08-13 00:50:07,2024-08-13 00:50:07,0.024s,FAILED
,,,,,,,
Test Cases/Login/L005_Logout,,,,2024-08-13 00:50:07,2024-08-13 00:50:08,0.381s,FAILED
file = new java.io.FileInputStream(new java.io.File((java.lang.System.getProperty(user.dir) + \Data Files\dataFile.xlsx))),,,,2024-08-13 00:50:08,2024-08-13 00:50:08,0.000s,PASSED
workbook = new org.apache.poi.xssf.usermodel.XSSFWorkbook(file),,,,2024-08-13 00:50:08,2024-08-13 00:50:08,0.025s,PASSED
sheet = workbook.getSheetAt(0),,,,2024-08-13 00:50:08,2024-08-13 00:50:08,0.000s,PASSED
userEmail = getCell(0).getStringCellValue(),,Read data from excel,,2024-08-13 00:50:08,2024-08-13 00:50:08,0.000s,PASSED
password = getCell(1).getStringCellValue(),,,,2024-08-13 00:50:08,2024-08-13 00:50:08,0.000s,PASSED
"callTestCase(findTestCase(""Login/L002_Login""), [""UserEmail"":userEmail, ""Password"":password], STOP_ON_FAILURE)",,Call Login test case to run the login test,,2024-08-13 00:50:08,2024-08-13 00:50:08,0.140s,FAILED
,,,,,,,
Test Cases/Login/L003_Login User with correct email and password,,Login User with correct email and password,,2024-08-13 00:50:08,2024-08-13 00:50:08,0.226s,FAILED
file = new java.io.FileInputStream(new java.io.File((java.lang.System.getProperty(user.dir) + \Data Files\dataFile.xlsx))),,,,2024-08-13 00:50:08,2024-08-13 00:50:08,0.000s,PASSED
workbook = new org.apache.poi.xssf.usermodel.XSSFWorkbook(file),,,,2024-08-13 00:50:08,2024-08-13 00:50:08,0.020s,PASSED
sheet = workbook.getSheetAt(0),,,,2024-08-13 00:50:08,2024-08-13 00:50:08,0.000s,PASSED
userEmail = getCell(0).getStringCellValue(),,Read data from excel,,2024-08-13 00:50:08,2024-08-13 00:50:08,0.000s,PASSED
password = getCell(1).getStringCellValue(),,,,2024-08-13 00:50:08,2024-08-13 00:50:08,0.000s,PASSED
"callTestCase(findTestCase(""Login/L002_Login""), [""UserEmail"":userEmail, ""Password"":password], STOP_ON_FAILURE)",,Call Login test case to run the login test,,2024-08-13 00:50:08,2024-08-13 00:50:08,0.120s,FAILED
,,,,,,,
Test Cases/Login/L004_Login User with incorrect email and password,,Login User with correct email and password,,2024-08-13 00:50:08,2024-08-13 00:50:08,0.293s,FAILED
"callTestCase(findTestCase(""Login/L002_Login""), [""UserEmail"":userEmail, ""Password"":password], STOP_ON_FAILURE)",,Call Login test case to run the login test,,2024-08-13 00:50:08,2024-08-13 00:50:08,0.113s,FAILED
